clean_name,serial_num,clean_date,coast_name,lat,lng,coast_length,collect_bag,collect_val,trash_type,clean_status
홍길동,20171202100141158,2017/12/02 10:02:58,용궁사1,35.1896 ,129.2231 ,42 ,9 ,450 ,1 ,1
홍길동,20171202100822921,2017/12/02 10:09:41,용궁사2,35.1888 ,129.2234 ,35 ,11 ,550 ,2 ,1
김철수,20171202101121603,2017/12/02 10:13:19,길천리9,35.3240 ,129.2747 ,96 ,2 ,100 ,1 ,1
홍길동,20171202101346996,2017/12/02 10:16:43,용궁사3,35.1879 ,129.2238 ,69 ,6 ,300 ,2 ,1
김철수,20171202101621514,2017/12/02 10:18:07,길천리8,35.3250 ,129.2757 ,81 ,10 ,500 ,1 ,1
김철수,20171202102531431,2017/12/02 10:26:52,월내리1,35.3240 ,129.2737 ,89 ,5 ,250 ,2 ,1
김철수,20171202103137782,2017/12/02 10:33:09,월내리2,35.3232 ,129.2717 ,84 ,5 ,250 ,2 ,1
김철수,20171202104123843,2017/12/02 10:42:54,월내리3,35.3214 ,129.2674 ,20 ,14 ,700 ,2 ,1
김철수,20171202104932421,2017/12/02 10:51:04,임랑리1,35.3204 ,129.2654 ,32 ,11 ,550 ,1 ,1
홍길동,20171202105307108,2017/12/02 10:54:49,연화1길1,35.2177 ,129.2265 ,86 ,9 ,450 ,2 ,1
김철수,20171202105443345,2017/12/02 10:56:21,임랑리2,35.3197 ,129.2649 ,71 ,13 ,650 ,1 ,1
김철수,20171202110309113,2017/12/02 11:04:56,임랑리3,35.3189 ,129.2642 ,32 ,3 ,150 ,2 ,1
홍길동,20171202110407754,2017/12/02 11:05:24,연화1길2,35.2179 ,129.2275 ,37 ,4 ,200 ,2 ,1
홍길동,20171202110949722,2017/12/02 11:10:59,연화1길3,35.2184 ,129.2279 ,66 ,5 ,250 ,2 ,1
김철수,20171202111118767,2017/12/02 11:12:55,임랑리4,35.3176 ,129.2633 ,79 ,3 ,150 ,2 ,1
홍길동,20171202111919092,2017/12/02 11:20:37,죽도1,35.2189 ,129.2301 ,87 ,6 ,300 ,2 ,1
김철수,20171202111955065,2017/12/02 11:21:26,월내리4,35.3171 ,129.2627 ,79 ,8 ,400 ,2 ,1
홍길동,20171202112804657,2017/12/02 11:28:52,죽도2,35.2177 ,129.2303 ,41 ,4 ,200 ,2 ,1
김철수,20171202112831816,2017/12/02 11:29:50,임랑리5,35.3167 ,129.2628 ,96 ,11 ,550 ,2 ,1
홍길동,20171202113415220,2017/12/02 11:35:20,죽도3,35.2166 ,129.2304 ,38 ,6 ,300 ,2 ,1
김철수,20171202113524811,2017/12/02 11:37:06,임랑리6,35.3161 ,129.2618 ,88 ,15 ,750 ,2 ,1
홍길동,20171202114145109,2017/12/02 11:42:42,죽도4,35.2171 ,129.2294 ,88 ,7 ,350 ,2 ,1
김철수,20171202114103816,2017/12/02 11:42:43,임랑리7,35.3154 ,129.2625 ,57 ,1 ,50 ,2 ,1
홍길동,20171202115439120,2017/12/02 11:55:31,죽도5,35.2187 ,129.2291 ,64 ,6 ,300 ,2 ,1
김철수,20171202115559819,2017/12/02 11:57:32,문동리1,35.3142 ,129.2629 ,49 ,12 ,600 ,2 ,1
김철수,20171202120959834,2017/12/02 12:11:50,길천리1,35.3249 ,129.2849 ,71 ,7 ,350 ,1 ,1
김철수,20171202121307907,2017/12/02 12:15:11,길천리2,35.3264 ,129.2851 ,33 ,9 ,450 ,1 ,1
김철수,20171202122458489,2017/12/02 12:27:55,길천리3,35.3268 ,129.2818 ,49 ,9 ,450 ,5 ,1
김철수,20171202123001706,2017/12/02 12:31:59,길천리4,35.3264 ,129.2799 ,91 ,15 ,750 ,2 ,1
홍길동,20171202130909370,2017/12/02 13:10:36,연화1길4,35.2187 ,129.2277 ,70 ,5 ,250 ,2 ,1
홍길동,20171202131129583,2017/12/02 13:12:25,연화1길5,35.2190 ,129.2272 ,45 ,10 ,500 ,2 ,1
김철수,20171202132109811,2017/12/02 13:22:55,길천리5,35.3260 ,129.2784 ,63 ,13 ,650 ,1 ,1
홍길동,20171202132429569,2017/12/02 13:25:42,연화1길6,35.2198 ,129.2282 ,23 ,11 ,550 ,2 ,1
홍길동,20171202133144857,2017/12/02 13:32:55,연화1길7,35.2211 ,129.2277 ,62 ,2 ,100 ,1 ,1
김철수,20171202133241968,2017/12/02 13:34:03,길천리6,35.3253 ,129.2785 ,74 ,2 ,100 ,2 ,1
